corp_code,year,total_assets,total_debt,total_equity,revenue,operating_income,net_income,interest_expense,operating_cf,capex,current_assets,current_liabilities,retained_earnings,ebit,debt_ratio,current_ratio,interest_coverage,net_debt_ratio,equity_ratio,roa,roe,op_margin,net_margin,cfo_to_debt,fcf,revenue_growth,op_income_growth,asset_growth,interest_cov_yoy,debt_ratio_trend,cf_volatility,consecutive_loss,z_score,data_quality,created_at,news_count,sentiment_avg,negative_ratio,positive_ratio,news_bankruptcy_flag,news_lawsuit_flag,news_ceo_change_flag,label
00563837,2022,993.89971714,198.31610128,795.58361586,903.91450843,93.34742187,41.27129858,,125.63559935,,481.08129668,12.04854203,44.91080445,93.34742187,0.24927122344723848,10.0,,0.07706617887514323,0.8004666890834166,0.04152461044939261,0.05187550089928269,0.10327018871744209,0.04565840927997018,0.6335118456802289,,-0.1925870702035466,3.0018425270511617,0.014426116935372102,,-0.14396602030100814,0.9223030837402134,0,1.8489545783341301,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00563837,2023,894.18245011,78.80863231,815.3738178,694.12990004,23.24081274,9.63997669,,51.94004421,,472.06259194,5.89459025,52.93127652,23.24081274,0.0966533761442542,10.0,,-0.03181529214415253,0.9118651542531335,0.010780771517953763,0.011822769482603811,0.033481935785593914,0.013887856854235044,0.6590654181852785,,-0.23208456821251022,-0.7510288739161297,-0.10032930416455077,,-0.11133050366285598,0.8887048712871047,0,1.5705183780617062,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00564562,2015,2725.41432512,1815.38692619,910.02739893,5028.65298473,262.93735119,161.63490921,43.41304234,818.86506935,,1249.26342909,,642.60450689,262.93735119,1.99487062513119,,6.0566442022363,1.5786724089617297,0.3339042400057582,0.059306545694803016,0.17761543157936618,0.05228782976046173,0.03214278449931231,0.4510691674245851,,,,,,,,0,,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00564562,2016,2946.86928096,2310.83162826,636.0376527,4124.81616926,-238.70424784,-246.99655459,42.01579177,-126.67499716,,1368.28187132,0.0,368.30791948,-238.70424784,3.6331679711892,,-5.681298335318744,2.9760038247496663,0.2158350412111929,-0.0838165968832985,-0.3883363721337751,-0.05787027543649879,-0.05988062120943238,-0.05481792598424109,,-0.1797373607235555,-1.9078369686150485,0.08125551913294848,-11.737942537555044,,,1,1.8645759144273977,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00564562,2017,3877.9690052,2897.78513897,980.18386623,6684.65044074,196.60857695,-8.92478503,69.32479531,655.20286867,,1641.09327844,0.2209275,364.50551459,196.60857695,2.956368941385978,10.0,2.8360498732210395,2.3267927198006313,0.25275701402349104,-0.002301407004035536,-0.009105215192254348,0.029411945874051593,-0.0013351161903107703,0.22610471006241956,,0.620593540763597,-1.8236492594039797,0.3159623435813468,8.517348208539783,0.48074915812739394,1.1251334479485138,2,2.5304001329229084,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00564562,2018,3910.53609043,2613.44619517,1297.08989526,6969.54048288,411.11698751,298.18005521,73.50775109,1255.37618787,,1722.32681915,0.22454585,860.68762129,411.11698751,2.014853561592304,10.0,5.592838597478578,1.5121074475311151,0.33169106876018445,0.07625042917765587,0.22988387797919757,0.058987674800063075,0.04278331633806424,0.4803527963154948,,0.04261853999181775,1.0910429946021742,0.008397974606380476,2.7567887242575386,-0.8091572047984475,0.8865072194925554,0,2.9657601083931495,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00564562,2019,4765.80873535,2520.13791555,2245.6708198,12677.12135419,1130.67104268,845.0730791,44.94563424,1160.421079,,2413.28607673,2.45151905,1664.46103045,1130.67104268,1.1222205379924934,10.0,10.0,0.9066087574408264,0.4712045624372037,0.17731997359267462,0.3763120897546607,0.08918988870500119,0.06666127549695572,0.46045935495825724,,0.8189321642266256,1.750241602829651,0.21870982012237472,19.563576742940477,-0.9170742016967421,0.7295854491856163,0,4.5389112127873465,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00564562,2020,4533.96247933,2004.61504514,2529.34743419,13113.42738149,591.67161589,384.43583445,36.60475042,195.45971313,,2152.24892569,2.10840675,1966.18080133,591.67161589,0.792542383874582,10.0,10.0,0.7222079259170611,0.5578668649599788,0.08479025492659337,0.1519901256954492,0.04511952510029242,0.0293161980667726,0.09750486189549142,,0.03441680608001696,-0.4767075536952142,-0.048647830598047115,-8.992622141416007,-0.6111555888588613,0.9536326001530008,0,4.499103279198596,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00564562,2021,5255.27588292,2265.61392084,2989.66196208,10092.73639991,238.78951946,395.05208461,14.99483814,928.01540274,,2482.80223111,2.30217136,2279.77662068,238.78951946,0.7578160840845507,10.0,10.0,0.6899488323304974,0.5688877289575991,0.07517247303684776,0.1321393821845832,0.023659541872324077,0.03914221762628446,0.40960880148367407,,-0.23035099014951632,-0.5964154557240171,0.15909117176827436,-0.23901180219632145,-0.18220222695397154,0.5101231405016571,0,3.244173956726133,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
00564562,2022,5388.9001055,2298.23432579,3090.66577971,11086.37950325,107.02196295,229.73446783,41.43874912,1222.50130435,,2912.84227459,1.81509866,2419.28535028,107.02196295,0.7436049348582898,10.0,2.582654284280674,0.6027595962397462,0.5735244148533419,0.04263104962653311,0.07433170850701178,0.009653463776756537,0.02072222656302292,0.5319306611303766,,0.0984513083437768,-0.5518146558859867,0.025426680835974214,-13.342127112526054,-0.024468724508146154,0.4641481856001022,0,3.3995404857840152,OK,2026-05-01 18:16:27,0,0.0,0.0,0.0,0,0,0,0
